1,0,1328,318,240,701,1.000000
1,1,1630,378,75,225,1.000000
1,3,360,385,116,298,1.000000
1,4,768,426,47,158,1.000000
1,5,1894,473,26,29,1.000000
1,6,681,424,85,174,1.000000
1,7,1196,411,42,114,1.000000
1,8,911,426,15,51,1.000000
1,9,939,431,19,46,1.000000
1,10,1354,401,30,89,1.000000
1,16,1894,472,26,30,1.156250
2,0,1363,314,205,705,11.250000
2,1,1632,376,76,227,9.562500
2,3,358,384,118,299,9.437500
2,4,765,424,50,160,9.125000
2,5,1893,472,27,32,8.562500
2,6,681,425,81,174,8.937500
2,7,1195,411,41,114,8.500000
2,8,910,424,15,53,8.312500
2,9,939,429,19,48,8.937500
2,10,1353,401,28,88,8.500000
2,16,1895,472,25,30,1.218750
3,0,1405,313,183,707,11.437500
3,1,1632,376,78,227,9.625000
3,3,357,384,115,299,9.375000
3,4,764,421,47,163,9.437500
3,5,1892,473,28,30,8.375000
3,6,680,425,77,173,8.812500
3,7,1195,411,39,115,8.750000
3,8,910,424,14,54,8.562500
3,9,939,429,18,48,8.812500
3,10,1351,401,28,88,8.812500
3,16,1894,473,26,30,1.242188
4,0,1417,312,196,708,11.687500
4,1,1632,377,81,227,10.000000
4,3,355,385,114,298,8.812500
4,4,761,422,51,162,8.750000
4,5,1892,474,24,30,7.218750
4,6,680,423,72,176,8.125000
4,7,1192,413,40,113,8.937500
4,8,909,424,15,54,8.312500
4,9,939,431,17,46,8.562500
4,10,1349,402,29,86,8.812500
4,11,579,489,17,106,0.535156
4,16,1893,474,22,29,1.242188
5,0,1420,312,204,708,12.375000
5,1,1633,377,81,227,9.437500
5,3,354,385,115,298,8.812500
5,4,759,421,52,163,8.750000
5,5,1892,474,25,30,7.187500
5,6,681,425,68,174,7.906250
5,7,1191,412,40,114,8.750000
5,8,909,425,15,53,8.125000
5,9,939,430,18,48,8.625000
5,10,1348,402,29,87,8.562500
5,11,577,478,17,117,2.062500
5,16,1893,474,23,29,1.226562
6,0,1414,313,229,708,12.062500
6,1,1633,378,84,227,9.375000
6,3,354,385,112,299,8.562500
6,4,759,426,52,159,8.375000
6,5,1893,476,27,32,6.718750
6,6,679,424,68,176,7.656250
6,7,1192,414,37,113,8.375000
6,8,909,425,15,54,8.000000
6,9,938,430,19,49,8.500000
6,10,1347,402,29,88,8.562500
6,11,573,424,22,172,6.656250
6,16,1894,477,26,31,1.273438
7,0,1413,316,282,707,11.625000
7,1,1634,379,85,227,9.062500
7,3,353,386,111,299,8.437500
7,4,757,428,49,158,8.250000
7,5,1895,478,25,32,6.625000
7,6,679,424,60,176,7.375000
7,7,1189,414,39,114,8.062500
7,8,909,427,14,52,7.625000
7,9,938,432,18,47,8.437500
7,10,1345,402,29,89,8.500000
7,11,568,427,25,169,1.000000
7,16,1895,479,25,31,1.289062
8,0,1419,319,335,705,11.500000
8,1,1634,379,88,228,8.437500
8,3,353,387,109,299,8.437500
8,4,755,427,53,160,8.125000
8,5,1895,480,25,32,6.562500
8,6,676,423,59,179,7.437500
8,7,1187,415,39,113,7.750000
